year,brokerage,active_offices,listing_volume,listing_sides,volume_per_office,sides_per_office
2025,Others,10242,92163972292.47,79683,8998630.374191564,7.780023432923257
2025,RE/MAX,134,6879509346.42,6959,51339621.98820896,51.93283582089552
2025,Redfin,2,1496514577.0,1401,748257288.5,700.5
2025,Sotheby's,38,6453192477.1,2984,169820854.66052634,78.52631578947368
2025,eXp,31,5992009097.99,5995,193290616.06419355,193.38709677419354
2026,Berkshire Hathaway,36,2674421075.0,1765,74289474.30555555,49.02777777777778
2026,Century 21,63,1746676024.0,2298,27725016.253968254,36.476190476190474
2026,Coldwell Banker,71,8293669847.3,4996,116812251.37042254,70.36619718309859
2026,Compass,10,11012536661.44,5147,1101253666.144,514.7
2026,Keller Williams,129,5528584637.5,4827,42857245.251937985,37.41860465116279
2026,Others,7047,48356516283.51,38718,6862000.324040017,5.494252873563219
2026,RE/MAX,116,3311298673.25,3264,28545678.217672415,28.137931034482758
2026,Redfin,2,700527196.0,674,350263598.0,337.0
2026,Sotheby's,27,3452640546.5,1514,127875575.7962963,56.074074074074076
2026,eXp,30,3070470427.0,3122,102349014.23333333,104.06666666666666
